"Gene","Patient","ExpressionLevel"
1,1,0.319789280305886
2,1,0.592636754885685
3,1,0.294210479547574
4,1,0.190928993295628
5,1,0.36175749840524
6,1,-0.856865584060171
7,1,1.59766900611903
8,1,-1.56738238324355
9,1,0.247638615335738
10,1,-0.373767519923729
11,1,-0.0238014731157
12,1,0.101685243677997
13,1,0.0513311769228951
14,1,-0.315596909329023
15,1,1.06574339949946
16,1,-0.251414177889928
17,1,-0.0104954693021402
18,1,-0.136293148577833
19,1,0.0917716109474728
20,1,0.175496786417551
21,1,0.0108356114482788
22,1,0.168199178727728
23,1,-0.016365974787358
24,1,-0.0191163102620271
25,1,0.0309960935865495
26,1,0.0294744681493998
27,1,0.131332695876645
28,1,-0.179384413171732
29,1,-0.237765529447094
30,1,-0.138779667735307
1,2,-0.640833142721469
2,2,2.86136557920173
3,2,0.211836893193139
4,2,0.215569981878388
5,2,2.50335636157337
6,2,4.36042211150408
7,2,-6.13304873060777
8,2,-1.35318211185871
9,2,1.68185098364674
10,2,-4.25054354456376
11,2,-0.0237282544692687
12,2,0.0653938647208051
13,2,0.239710912920994
14,2,0.145038200883585
15,2,0.119275209979346
16,2,-0.314063280987879
17,2,-0.381058416388234
18,2,4.24819310495897
19,2,-0.0270363540536861
20,2,0.321741624190016
21,2,-0.0228304868597031
22,2,0.254501981853582
23,2,-0.226916270004212
24,2,0.00708682478810573
25,2,-0.145869481448248
26,2,-0.17282971417612
27,2,-0.617647929253186
28,2,-0.0765072752897682
29,2,0.33366604018603
30,2,-0.344451392130353
1,3,0.346605707808392
2,3,0.584106837371188
3,3,0.223834084295195
4,3,0.208810188604711
5,3,0.363887214408466
6,3,-0.851973516148283
7,3,1.49880057234604
8,3,-1.50080561610222
9,3,0.638168198908464
10,3,-0.514331962945171
11,3,0.0283312558331374
12,3,-0.0417366866253226
13,3,-0.267092841879709
14,3,0.843034777374256
15,3,0.273271384837789
16,3,-0.171015611878415
17,3,-0.233419781885184
18,3,-0.152415986953292
19,3,-0.0951559997931439
